id,name,category,expiration_date,quantity,purchase_price,purchase_currency,sale_price,sale_currency,created_at
97,Arroz Integral 5kg,Alimentos,2025-12-31,200,15.50,BRL,22.00,BRL,2024-01-15 10:00:00
98,Smartphone Galaxy S23,Eletrônicos,,50,800.00,USD,1000.00,USD,2024-02-20 14:30:00
99,Camiseta Algodão M,Vestuário,,150,25.00,BRL,40.00,BRL,2024-03-10 09:15:00
100,Leite em Pó 400g,Alimentos,2026-06-30,300,12.75,BRL,18.50,BRL,2024-04-05 11:45:00
101,Fone de Ouvido Bluetooth,Eletrônicos,,80,50.00,USD,70.00,USD,2024-05-12 16:20:00
102,Calça Jeans Azul,Vestuário,,100,80.00,BRL,120.00,BRL,2024-06-18 13:10:00
103,Feijão Carioca 1kg,Alimentos,2025-09-30,250,8.90,BRL,13.50,BRL,2024-07-22 08:50:00
104,Notebook Dell Inspiron,Eletrônicos,,30,1200.00,USD,1500.00,USD,2024-08-30 15:25:00
105,Tênis Esportivo Nike,Vestuário,,120,150.00,BRL,220.00,BRL,2024-09-14 12:00:00
106,Azeite Extra Virgem 500ml,Alimentos,2026-03-31,180,35.00,BRL,50.00,BRL,2024-10-01 10:30:00
107,"Televisor LED 55'"",Eletrônicos,,40,600.00,USD,800.00,USD,2024-11-05 17:40:00
108,Jaqueta de Couro,Vestuário,,90,200.00,BRL,300.00,BRL,2024-12-12 14:15:00
109,Macarrão Espaguete 500g,Alimentos,2025-11-30,400,4.50,BRL,7.00,BRL,2025-01-20 09:00:00
110,Mouse Sem Fio Logitech,Eletrônicos,,200,20.00,USD,30.00,USD,2025-02-25 11:50:00
111,Vestido Floral,Vestuário,,130,60.00,BRL,90.00,BRL,2025-03-15 13:30:00
112,Café em Grão 1kg,Alimentos,2026-01-31,220,30.00,BRL,45.00,BRL,2025-04-10 10:20:00
113,"Tablet Samsung 10'"",Eletrônicos,,60,300.00,USD,400.00,USD,2024-01-30 15:00:00
114,Sapato Social Masculino,Vestuário,,110,120.00,BRL,180.00,BRL,2024-02-28 12:45:00
115,Biscoito Recheado 150g,Alimentos,2025-08-31,350,3.20,BRL,5.00,BRL,2024-03-25 09:10:00
116,Câmera Digital Canon,Eletrônicos,,25,500.00,USD,650.00,USD,2024-04-15 16:30:00
117,Bermuda Esportiva,Vestuário,,140,40.00,BRL,60.00,BRL,2024-05-20 14:00:00
118,Suco de Laranja 1L,Alimentos,2025-07-31,280,6.50,BRL,10.00,BRL,2024-06-10 11:15:00
119,"Monitor 24'" Full HD",Eletrônicos,,70,150.00,USD,200.00,USD,2024-07-05 13:50:00
120,Blusa de Lã,Vestuário,,160,70.00,BRL,100.00,BRL,2024-08-12 10:40:00
121,Farinha de Trigo 1kg,Alimentos,2025-10-31,300,5.00,BRL,8.00,BRL,2024-09-18 09:30:00
122,Teclado Mecânico RGB,Eletrônicos,,90,80.00,USD,110.00,USD,2024-10-22 15:20:00
123,Calça Legging,Vestuário,,170,50.00,BRL,75.00,BRL,2024-11-30 12:10:00
124,Iogurte Natural 900g,Alimentos,2025-06-30,260,10.00,BRL,15.00,BRL,2024-12-15 14:25:00
125,Smartwatch Xiaomi,Eletrônicos,,100,100.00,USD,140.00,USD,2025-01-10 16:00:00
126,Chinelo Havaianas,Vestuário,,200,20.00,BRL,30.00,BRL,2025-02-05 11:30:00
127,Açúcar Refinado 1kg,Alimentos,2026-02-28,320,4.00,BRL,6.50,BRL,2025-03-12 09:50:00
128,Impressora Multifuncional,Eletrônicos,,35,250.00,USD,320.00,USD,2025-04-01 13:15:00
129,Moletom com Capuz,Vestuário,,180,90.00,BRL,130.00,BRL,2024-01-25 10:00:00
130,Molho de Tomate 340g,Alimentos,2025-11-30,400,2.50,BRL,4.00,BRL,2024-02-15 12:20:00
131,Carregador USB-C,Eletrônicos,,250,15.00,USD,22.00,USD,2024-03-05 14:45:00
132,Saia Midi,Vestuário,,140,55.00,BRL,80.00,BRL,2024-04-20 11:00:00
133,Cereal Matinal 300g,Alimentos,2025-09-30,300,8.00,BRL,12.00,BRL,2024-05-25 09:25:00
134,Roteador Wi-Fi 6,Eletrônicos,,60,120.00,USD,160.00,USD,2024-06-30 15:10:00
135,Boné Esportivo,Vestuário,,200,30.00,BRL,45.00,BRL,2024-07-15 12:35:00
136,Óleo de Soja 900ml,Alimentos,2026-04-30,280,7.50,BRL,11.00,BRL,2024-08-20 10:50:00
137,Caixa de Som Bluetooth,Eletrônicos,,80,70.00,USD,95.00,USD,2024-09-25 14:00:00
138,Camisa Polo,Vestuário,,150,45.00,BRL,65.00,BRL,2024-10-10 11:15:00
